@relation subflow_dataset_clustered

@attribute Instance_number numeric
@attribute flowid numeric
@attribute ppid numeric
@attribute subflow1 numeric
@attribute subflow2 numeric
@attribute subflow3 numeric
@attribute subflow4 numeric
@attribute subprotocol {none,'transition point 1','transition point 2'}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39,cluster40,cluster41,cluster42,cluster43,cluster44,cluster45,cluster46,cluster47,cluster48,cluster49,cluster50,cluster51,cluster52,cluster53,cluster54,cluster55,cluster56,cluster57,cluster58,cluster59,cluster60,cluster61,cluster62,cluster63,cluster64,cluster65,cluster66,cluster67,cluster68,cluster69,cluster70,cluster71,cluster72,cluster73,cluster74,cluster75,cluster76,cluster77,cluster78,cluster79,cluster80,cluster81,cluster82,cluster83,cluster84,cluster85,cluster86,cluster87,cluster88,cluster89,cluster90,cluster91,cluster92,cluster93,cluster94,cluster95,cluster96,cluster97,cluster98,cluster99,cluster100,cluster101,cluster102,cluster103,cluster104,cluster105,cluster106,cluster107,cluster108,cluster109,cluster110,cluster111,cluster112,cluster113,cluster114,cluster115,cluster116,cluster117,cluster118,cluster119,cluster120,cluster121,cluster122,cluster123,cluster124,cluster125,cluster126,cluster127,cluster128,cluster129,cluster130,cluster131,cluster132,cluster133,cluster134,cluster135,cluster136,cluster137,cluster138,cluster139,cluster140,cluster141,cluster142,cluster143,cluster144,cluster145,cluster146,cluster147,cluster148,cluster149,cluster150,cluster151,cluster152,cluster153,cluster154,cluster155,cluster156,cluster157,cluster158,cluster159,cluster160,cluster161,cluster162,cluster163,cluster164,cluster165,cluster166,cluster167,cluster168,cluster169,cluster170,cluster171,cluster172,cluster173,cluster174,cluster175,cluster176,cluster177,cluster178,cluster179,cluster180,cluster181,cluster182,cluster183,cluster184,cluster185,cluster186,cluster187,cluster188,cluster189,cluster190,cluster191,cluster192}

@data
0,1,2,77,-510,862,438,none,cluster24
1,1,3,862,438,-518,238,none,cluster23
2,1,4,438,-518,238,186,none,cluster22
3,1,5,238,186,-106,154,none,cluster72
4,1,6,186,-106,154,-122,none,cluster63
5,1,7,-106,154,-122,170,none,cluster44
6,1,8,154,-122,170,-122,none,cluster9
7,1,9,-122,170,-122,170,none,cluster192
8,1,10,170,-122,170,-122,none,cluster1
9,1,11,-122,170,-122,170,none,cluster192
10,1,12,170,-122,170,-122,none,cluster1
11,1,13,-122,170,-122,170,none,cluster192
12,1,14,170,-122,170,-122,none,cluster1
13,1,15,-122,170,-122,170,none,cluster192
14,1,16,170,-122,170,-122,none,cluster1
15,1,17,-122,170,-122,170,none,cluster192
16,1,18,170,-122,170,-122,none,cluster1
17,1,19,-122,170,-122,170,none,cluster192
18,1,20,170,-122,170,-122,none,cluster1
19,1,21,-122,170,-122,170,none,cluster192
20,1,22,170,-122,170,-122,none,cluster1
21,1,23,-122,170,-122,170,none,cluster192
22,1,24,170,-122,170,-122,none,cluster1
23,1,25,-122,170,-122,234,none,cluster29
24,2,2,77,-510,862,438,none,cluster24
25,2,3,862,438,-518,238,none,cluster23
26,2,4,438,-518,238,186,none,cluster22
27,2,5,238,186,-106,154,none,cluster72
28,2,6,186,-106,154,-122,none,cluster63
29,2,7,-106,154,-122,170,none,cluster44
30,2,8,154,-122,170,-122,none,cluster9
31,2,9,-122,170,-122,170,none,cluster192
32,2,10,170,-122,170,-122,none,cluster1
33,2,11,-122,170,-122,170,none,cluster192
34,2,12,170,-122,170,-122,none,cluster1
35,2,13,-122,170,-122,170,none,cluster192
36,3,2,77,-510,862,438,none,cluster24
37,3,3,862,438,-518,238,none,cluster23
38,3,4,438,-518,238,186,none,cluster22
39,4,2,77,-510,862,438,none,cluster24
40,4,3,862,438,-518,238,none,cluster23
41,4,4,438,-518,238,186,none,cluster22
42,4,5,238,186,-106,154,none,cluster72
43,4,6,186,-106,154,-122,none,cluster63
44,4,7,-106,154,-122,170,none,cluster44
45,4,8,154,-122,170,-122,none,cluster9
46,4,9,-122,170,-122,170,none,cluster192
47,4,10,170,-122,170,-90,none,cluster126
